Alm01005,Don Luciano
Alm02004,Distribución Rosario
Alm02005,Distribución Rosario
Alm02006,Distribución Rosario
Alm03002,Distribuidora Parodi
Alm04001,Distribución Rosario
Alm04002,Distribución Rosario
Alm05001,La Virginia
Alm05002,La Virginia
Alm05003,La Virginia
Alm05004,La Virginia
Alm05005,La Virginia
Alm05006,La Virginia
Alm06004,FECOFE
Alm06005,La Virginia
Alm06006,La Virginia
Alm06007,La Virginia
Alm07001,Distribución Rosario
Alm08001,La Virginia
Alm08002,La Virginia
Alm09001,La Virginia
Alm09002,La Virginia
Alm10001,La Virginia
Alm11001,La Virginia
Alm12001,Titrayju
Alm12002,Titrayju
Alm12003,Distribución Rosario
Alm12004,Distribución Rosario
Alm12005,Distribución Rosario
Alm13001,Distribución Rosario
Alm14001,Distribución Rosario
Alm15001,Distribución Rosario
Alm15002,Distribución Rosario
Alm16001,Distribuidora Parodi
Alm16002,Distribución Rosario
Alm17002,Distribución Rosario
Alm19001,Distribución Rosario
Alm20006,Alimentos Naturaleza
Alm20007,Alimentos Naturaleza
Alm20010,Alimentos Naturaleza
Alm20011,Alimentos Naturaleza
Fre09001,Poroto Santto
Fre09002,Poroto Santto
Fre09003,Poroto Santto
FRE13001,FECOFE
FRE13002,FECOFE
FRE13003,FECOFE
Alm23001,Lacteos la Resistencia
Alm24001,Fargo/Seba Carrillo
Alm24002,Fargo/Seba Carrillo
Alm24003,Fargo/Seba Carrillo
Alm24004,Fargo/Seba Carrillo
Alm24005,Fargo/Seba Carrillo
Alm24008,Fargo/Seba Carrillo
Alm25004,Tyna
Alm25002,Tyna
Alm25003,Tyna
Alm25001,Tyna
Alm25005,Tyna
Alm25006,Tyna
Alm25007,Patricio Delgado
Alm26001,Distribuidora Parodi
Alm26002,Distribuidora Parodi
Alm27001,FECOFE
Alm28001,Distribuidora Parodi
Alm28003,FECOFE
Alm29001,Distribuidora Parodi
Alm29002,Distribuidora Parodi
Alm29003,FECOFE
Alm29005,Patricio Delgado
Alm29006,Patricio Delgado
Alm30001,Distribución Rosario
Alm31002,Distribuidora Parodi
Alm32001,Tu Cosecha
Alm33001,Tu Cosecha
Alm34001,Tu Cosecha
Alm36009,Memolac
Alm36010,Memolac
Alm36003,Memolac
Alm36004,Memolac
Alm39001,Kaya
Alm37001,Nonna Amalia
Alm37002,Nonna Amalia
Alm40001,Distribución Rosario
Alm40002,Distribución Rosario
Alm41001,Distribución Rosario
Alm44001,Distribución Rosario
Alm45002,Patricio Delgado
Alm46001,Distribuidora Parodi
Alm47001,Distribuidora Parodi
Alm49001,Fargo/Seba Carrillo
Alm49005,Fargo/Seba Carrillo
Alm49006,Fargo/Seba Carrillo
Alm49007,Fargo/Seba Carrillo
Alm50001,Distribuidora Parodi
Lim01001,El Libertador
Lim01002,Distribuidora Parodi
Lim01003,Coop La Esperanza
Lim02004,El Libertador
Lim02003,Coop La Esperanza
Lim04001,Distribuidora Parodi
Lim04002,Distribuidora Parodi
Lim05001,Coop La Esperanza
Lim05002,Coop La Esperanza
Lim07002,El Libertador
Lim07003,Coop La Esperanza
Lim03001,El Libertador
Lim03002,El Libertador
Lim03003,El Libertador
Lim03004,Distribuidora Parodi
Lim03005,Coop La Esperanza
lim03006,Coop La Esperanza
Lim08001,Distribuidora Parodi
Lim09001,El Libertador
Lim09002,Coop La Esperanza
Lim10001,Distribuidora Parodi
Lim11001,Distribuidora Parodi
Lim13001,El Libertador
Lim13003,El Libertador
Lim14001,Marcelo/Tolim
Lim14002,Marcelo/Tolim
Lim14003,Marcelo/Tolim
Lim14004,Marcelo/Tolim
Lim15001,Distribuidora Parodi
Lim18001,Distribuidora Parodi
HiP01001,Coop. Prunelle
HiP01002,Coop. Prunelle
HiP01003,Distribuidora Parodi
HiP01004,Distribuidora Parodi
HIP01005,Coop. M26
HiP02001,Coop. de  Trabajo Jabonera  Cda. Rosquin ltda
HiP02002,Coop. M26
HiP02004,Coop. M26
HiP03001,Coop. M26
HiP03002,Coop. M26
HiP04001,Distribuidora Parodi
HiP04002,Distribuidora Parodi
HiP05001,Distribuidora Parodi
HiP05002,Distribuidora Parodi
HiP06001,Distribución Rosario
HiP07001,Distribuidora Parodi
HiP07002,Distribuidora Parodi
HiP08001,Distribución Rosario
Fre04002,Lacteos Rosario
Fre04003,APyMIL/ rocio del campo
Fre04004,Lacteos La Resistencia
Fre04007,Lacteos La Resistencia
Fre04008,Lacteos La Resistencia
Fre04009,Lacteos La Resistencia
Fre08001,Embutidos Natali
Fre08003,Embutidos Natali
Fre05001,Lacteos La Resistencia
Fre05002,Lacteos La Resistencia
Fre05003,Lacteos La Resistencia
Fre14001,Mil Hojas
Fre14002,Mil Hojas
FyV06003,Hinostroza
,Hinostroza
FyV06003,Hinostroza
FyV1312,Hinostroza
,
,Hinostroza
,Hinostroza
FyV02008,Hinostroza
FyV02009,Hinostroza
CAN02004,Varios
CAN02005,Varios
CAN02006,Varios
FyV02013,Naturalisima
FyV02001,Naturalisima
FyV02004,Naturalisima
FyV02005,Naturalisima
FyV02014,Naturalisima
FyV02010,Naturalisima
FyV02015,Naturalisima
FyV02011,Naturalisima
FyV02012,Naturalisima
FyV02006,Naturalisima
FyV02007,Gallinas libres
CAN01002,Varios
CAN01003,Varios
CAN01004,Varios
CAN01006,Varios
Alm48001,Distribución Rosario
HIP02005,Coop. M26
HIP02006,Coop. M26
HIP02007,Coop. M26
Alm25011,Salvena Miel
Alm25012,Salvena Miel
Alm25013,Salvena Miel
Alm25008,Salvena Miel
Alm25009,Salvena Miel
Alm25014,Patricio Delgado
Alm25015,Patricio Delgado
Alm25016,Patricio Delgado
ALM14002,Poroto Santto
ALM14003,Poroto Santto
Alm01003,Distribución Rosario
Alm43001,Distribución Rosario
Alm06008,Distribución Rosario
Alm06009,Distribución Rosario
Alm06010,Distribución Rosario
