Codigo,Acopio,Productosxbulto
ALM03002,ALM041,1
ALM04001,ALM100,30
ALM04002,ALM099,12
ALM05001,ALM162,1
ALM05002,ALM163,1
ALM05003,ALM164,1
ALM05004,ALM165,1
ALM05005,ALM166,10
ALM05006,ALM167,10
ALM06005,ALM168,10
ALM06006,ALM169,1
ALM06007,ALM170,10
ALM31002,ALM157,12
ALM46001,ALM159,12
ALM47001,ALM160,12
ALM07001,ALM105,10
ALM08001,ALM048,6
ALM08002,ALM155,12
ALM09001,ALM171,10
ALM09002,ALM172,1
ALM10001,ALM173,10
ALM11001,ALM154,12
ALM12001,PCL,10
ALM12002,ALM091,1
ALM12003,PCL,10
ALM12004,ALM093,1
ALM12005,ALM094,1
ALM40001,ALM046,6
ALM40002,#N/D,1
ALM20003,ALM076,1
ALM20006,ALM077,1
ALM20007,ALM078,1
ALM23001,PCL,1
ALM37001,ALM085,1
ALM37002,ALM086,1
ALM37003,#N/D,1
ALM37004,#N/D,1
ALM14001,ALM061,1
ALM15001,ALM062,1
ALM15002,ALM063,1
ALM16001,ALM058,48
ALM16002,ALM059,48
ALM17002,ALM001,1
ALM19001,ALM057,12
ALM43001,ALM056,24
ALM13001,ALM101,10
ALM28001,ALM098,10
ALM28003,#N/D,1
ALM29003,#N/D,1
ALM30001,ALM108,1
ALM34001,ALM106,1
ALM44001,ALM103,1
ALM36003,#N/D,1
ALM36004,#N/D,1
ALM50001,ALM179,1
ALM24001,FRA022,1
ALM24002,FRA023,1
ALM24003,FRA024,1
ALM24004,FRA025,1
ALM24005,FRA026,1
ALM24008,FRA027,1
ALM25004,ALM133,20
ALM25001,ALM130,20
ALM25002,ALM131,1
ALM25003,ALM132,30
ALM25005,#N/D,1
ALM25006,ALM134,1
ALM49001,FRA054,1
ALM49005,FRA055,1
ALM49006,FRA056,1
ALM49007,FRA057,1
ALM41001,ALM049,12
FRE13002,#N/D,1
FRE13003,#N/D,1
FRE08001,FRE013,1
FRE08003,#N/D,1
FRE09001,#N/D,1
FRE09002,#N/D,1
FRE09003,#N/D,1
FRE14001,FRE042,1
FRE14002,FRE043,1
FRE04002,FRE014,1
FRE04003,#N/D,1
FRE04004,FRE026,1
FRE05001,FRE030,1
FRE05002,FRE027,1
FRE05003,FRE028,1
HIP01001,#N/D,1
HIP01002,#N/D,1
HIP01003,LIM028,1
HIP01004,LIM029,1
HIP01005,LIM074,1
HIP02001,LIM021,20
HIP02002,LIM076,1
HIP03001,LIM083,1
HIP03002,LIM084,1
HIP04001,LIM030,12
HIP04002,#N/D,1
HIP05001,LIM031,1
HIP05002,LIM032,1
HIP06001,LIM022,1
HIP07001,LIM033,1
HIP07002,LIM034,1
HIP08001,LIM023,30
LIM01001,LIM001,1
LIM01002,LIM044,12
LIM01003,LIM008,1
LIM04001,LIM045,1
LIM04002,LIM046,1
LIM05001,LIM014,1
LIM03001,#N/D,1
LIM03003,LIM003,12
LIM03004,#N/D,1
LIM03005,LIM010,10
LIM05002,LIM015,1
LIM13001,LIM006,1
LIM07002,LIM004,12
LIM07003,LIM012,10
LIM08001,LIM017,1
LIM09001,LIM005,12
LIM02003,LIM009,10
LIM10001,PCL,8
LIM11001,LIM097,1
LIM14001,LIM018,1
LIM14002,#N/D,1
LIM14003,LIM019,1
LIM14004,#N/D,1
LIM15001,LIM020,1
LIM18001,#N/D,1
CAN02004,#N/D,1
CAN02006,#N/D,1
CAN02005,#N/D,1
CAN01002,#N/D,1
CAN01003,FRE036,1
CAN01004,#N/D,1
FYV02001,FYV,1
FYV02004,FYV,1
FYV02005,FYV,1
FYV02006,FYV,1
FYV02007,FYV,1
FYV02008,FYV,1
FYV02009,FYV,1
HIP02004,LIM077,1
ALM29005,FRA082,1
ALM29006,FRA083,1
ALM25007,FRA078,1
ALM45002,ALM047,1
FRE04007,FRE031,1
FRE04009,FRE024,1
ALM48001,ALM161,12
HIP02005,LIM078,1
HIP02006,LIM079,1
FYV02014,FYV,1
FYV02010,FYV,1
FYV02015,FYV,1
FYV02011,FYV,1
FYV02012,FYV,1
HIP02007,LIM080,1
ALM25008,FRA098,1
ALM25009,FRA099,1
CAN01006,FRE023,1
FYV02013,FYV,1
ALM02004,#N/D,1
ALM02005,ALM037,12
ALM02006,ALM038,1
ALM25011,FRA100,1
ALM25012,FRA101,1
ALM25013,FRA102,1
ALM25014,FRA079,1
ALM25015,FRA080,1
ALM25016,FRA081,1
ALM36009,ALM024,1
ALM36010,ALM025,1
ALM36011,PCL,1
ALM36012,PCL,1
LIM03006,LIM011,10
FRE05005,FRE025,1
LIM02004,LIM002,12
LIM09002,LIM013,10
ALM20010,ALM080,1
ALM20011,ALM081,1
CSOCIAL,CSO,1
HIP01006,LIM075,1
HIP03004,LIM085,1
CAN03004,LIM072,1
